,cases,county,date,fips,state
0,7.363,Fairfield,2020-04-18,09001,Connecticut
1,3.196,Hartford,2020-04-18,09003,Connecticut
2,0.593,Litchfield,2020-04-18,09005,Connecticut
3,0.448,Middlesex,2020-04-18,09007,Connecticut
4,4.743,New Haven,2020-04-18,09009,Connecticut
5,0.315,New London,2020-04-18,09011,Connecticut
6,0.27,Tolland,2020-04-18,09013,Connecticut
7,0.097,Windham,2020-04-18,09015,Connecticut
8,0.035,Androscoggin,2020-04-18,23001,Maine
9,0.002,Aroostook,2020-04-18,23003,Maine
10,0.369,Cumberland,2020-04-18,23005,Maine
11,0.011,Franklin,2020-04-18,23007,Maine
12,0.006,Hancock,2020-04-18,23009,Maine
13,0.096,Kennebec,2020-04-18,23011,Maine
14,0.012,Knox,2020-04-18,23013,Maine
15,0.012,Lincoln,2020-04-18,23015,Maine
16,0.013,Oxford,2020-04-18,23017,Maine
17,0.041,Penobscot,2020-04-18,23019,Maine
18,0.015,Sagadahoc,2020-04-18,23023,Maine
19,0.015,Somerset,2020-04-18,23025,Maine
20,0.042,Waldo,2020-04-18,23027,Maine
21,0.002,Washington,2020-04-18,23029,Maine
22,0.175,York,2020-04-18,23031,Maine
23,0.025,Belknap,2020-04-18,33001,New Hampshire
24,0.03,Carroll,2020-04-18,33003,New Hampshire
25,0.028,Cheshire,2020-04-18,33005,New Hampshire
26,0.002,Coos,2020-04-18,33007,New Hampshire
27,0.045,Grafton,2020-04-18,33009,New Hampshire
28,0.552,Hillsborough,2020-04-18,33011,New Hampshire
29,0.092,Merrimack,2020-04-18,33013,New Hampshire
30,0.466,Rockingham,2020-04-18,33015,New Hampshire
31,0.092,Strafford,2020-04-18,33017,New Hampshire
32,0.01,Sullivan,2020-04-18,33019,New Hampshire
33,0.059,Bristol,2020-04-18,44001,Rhode Island
34,0.316,Kent,2020-04-18,44003,Rhode Island
35,0.103,Newport,2020-04-18,44005,Rhode Island
36,3.014,Providence,2020-04-18,44007,Rhode Island
37,0.184,Washington,2020-04-18,44009,Rhode Island
38,0.061,Addison,2020-04-18,50001,Vermont
39,0.037,Bennington,2020-04-18,50003,Vermont
40,0.01,Caledonia,2020-04-18,50005,Vermont
41,0.384,Chittenden,2020-04-18,50007,Vermont
42,0.001,Essex,2020-04-18,50009,Vermont
43,0.09,Franklin,2020-04-18,50011,Vermont
44,0.003,Grand Isle,2020-04-18,50013,Vermont
45,0.023,Lamoille,2020-04-18,50015,Vermont
46,0.005,Orange,2020-04-18,50017,Vermont
47,0.009,Orleans,2020-04-18,50019,Vermont
48,0.042,Rutland,2020-04-18,50021,Vermont
49,0.031,Washington,2020-04-18,50023,Vermont
50,0.063,Windham,2020-04-18,50025,Vermont
51,0.034,Windsor,2020-04-18,50027,Vermont
52,7.434,Fairfield,2020-04-19,09001,Connecticut
53,3.351,Hartford,2020-04-19,09003,Connecticut
54,0.6,Litchfield,2020-04-19,09005,Connecticut
