,cases,county,date,fips,state,population
420,0.001,Essex,2020-04-18,50009,Vermont,6163
90,0.002,Aroostook,2020-04-18,23003,Maine,67055
210,0.002,Washington,2020-04-18,23029,Maine,31379
260,0.002,Coos,2020-04-18,33007,New Hampshire,31563
440,0.003,Grand Isle,2020-04-18,50013,Vermont,7235
460,0.005,Orange,2020-04-18,50017,Vermont,28892
120,0.006,Hancock,2020-04-18,23009,Maine,54987
470,0.009,Orleans,2020-04-18,50019,Vermont,27037
320,0.01,Sullivan,2020-04-18,33019,New Hampshire,43146
400,0.01,Caledonia,2020-04-18,50005,Vermont,29993
110,0.011,Franklin,2020-04-18,23007,Maine,30199
140,0.012,Knox,2020-04-18,23013,Maine,39772
150,0.012,Lincoln,2020-04-18,23015,Maine,34634
160,0.013,Oxford,2020-04-18,23017,Maine,57975
180,0.015,Sagadahoc,2020-04-18,23023,Maine,35856
190,0.015,Somerset,2020-04-18,23025,Maine,50484
450,0.023,Lamoille,2020-04-18,50015,Vermont,25362
230,0.025,Belknap,2020-04-18,33001,New Hampshire,61303
250,0.028,Cheshire,2020-04-18,33005,New Hampshire,76085
240,0.03,Carroll,2020-04-18,33003,New Hampshire,48910
490,0.031,Washington,2020-04-18,50023,Vermont,58409
510,0.034,Windsor,2020-04-18,50027,Vermont,55062
80,0.035,Androscoggin,2020-04-18,23001,Maine,108277
390,0.037,Bennington,2020-04-18,50003,Vermont,35470
170,0.041,Penobscot,2020-04-18,23019,Maine,152148
200,0.042,Waldo,2020-04-18,23027,Maine,39715
480,0.042,Rutland,2020-04-18,50021,Vermont,58191
270,0.045,Grafton,2020-04-18,33009,New Hampshire,89886
330,0.059,Bristol,2020-04-18,44001,Rhode Island,48479
380,0.061,Addison,2020-04-18,50001,Vermont,36777
500,0.063,Windham,2020-04-18,50025,Vermont,42222
430,0.09,Franklin,2020-04-18,50011,Vermont,49402
290,0.092,Merrimack,2020-04-18,33013,New Hampshire,151391
310,0.092,Strafford,2020-04-18,33017,New Hampshire,130633
130,0.096,Kennebec,2020-04-18,23011,Maine,122302
70,0.097,Windham,2020-04-18,09015,Connecticut,116782
350,0.103,Newport,2020-04-18,44005,Rhode Island,82082
220,0.175,York,2020-04-18,23031,Maine,207641
370,0.184,Washington,2020-04-18,44009,Rhode Island,125577
60,0.27,Tolland,2020-04-18,09013,Connecticut,150721
50,0.315,New London,2020-04-18,09011,Connecticut,265206
340,0.316,Kent,2020-04-18,44003,Rhode Island,164292
100,0.369,Cumberland,2020-04-18,23005,Maine,295003
410,0.384,Chittenden,2020-04-18,50007,Vermont,163774
30,0.448,Middlesex,2020-04-18,09007,Connecticut,162436
300,0.466,Rockingham,2020-04-18,33015,New Hampshire,309769
280,0.552,Hillsborough,2020-04-18,33011,New Hampshire,417025
20,0.593,Litchfield,2020-04-18,09005,Connecticut,180333
360,3.014,Providence,2020-04-18,44007,Rhode Island,638931
10,3.196,Hartford,2020-04-18,09003,Connecticut,891720
40,4.743,New Haven,2020-04-18,09009,Connecticut,854757
0,7.363,Fairfield,2020-04-18,09001,Connecticut,943332
91,0.002,Aroostook,2020-04-19,23003,Maine,67055
211,0.002,Washington,2020-04-19,23029,Maine,31379
261,0.002,Coos,2020-04-19,33007,New Hampshire,31563
421,0.002,Essex,2020-04-19,50009,Vermont,6163
441,0.003,Grand Isle,2020-04-19,50013,Vermont,7235
461,0.005,Orange,2020-04-19,50017,Vermont,28892
121,0.006,Hancock,2020-04-19,23009,Maine,54987
471,0.009,Orleans,2020-04-19,50019,Vermont,27037
321,0.01,Sullivan,2020-04-19,33019,New Hampshire,43146
111,0.012,Franklin,2020-04-19,23007,Maine,30199
141,0.012,Knox,2020-04-19,23013,Maine,39772
151,0.012,Lincoln,2020-04-19,23015,Maine,34634
401,0.012,Caledonia,2020-04-19,50005,Vermont,29993
161,0.014,Oxford,2020-04-19,23017,Maine,57975
181,0.016,Sagadahoc,2020-04-19,23023,Maine,35856
191,0.016,Somerset,2020-04-19,23025,Maine,50484
451,0.023,Lamoille,2020-04-19,50015,Vermont,25362
231,0.026,Belknap,2020-04-19,33001,New Hampshire,61303
251,0.029,Cheshire,2020-04-19,33005,New Hampshire,76085
241,0.03,Carroll,2020-04-19,33003,New Hampshire,48910
491,0.032,Washington,2020-04-19,50023,Vermont,58409
81,0.035,Androscoggin,2020-04-19,23001,Maine,108277
391,0.037,Bennington,2020-04-19,50003,Vermont,35470
511,0.037,Windsor,2020-04-19,50027,Vermont,55062
201,0.042,Waldo,2020-04-19,23027,Maine,39715
171,0.043,Penobscot,2020-04-19,23019,Maine,152148
481,0.043,Rutland,2020-04-19,50021,Vermont,58191
